,battingteam,bowlingteam,matchid,batsmanname,SR
95,Delhi Capitals,Kolkata Knight Riders,1254092,L Yadav,0.0
94,Delhi Capitals,Kolkata Knight Riders,1254092,K Rabada,0.0
194,Kolkata Knight Riders,Delhi Capitals,1254092,Tim Southee,60.0
93,Delhi Capitals,Kolkata Knight Riders,1254092,Avesh Khan,166.66666666666669
92,Delhi Capitals,Kolkata Knight Riders,1254092,AR Patel,33.33333333333333
195,Kolkata Knight Riders,Delhi Capitals,1254092,Venkatesh Iyer,100.0
101,Delhi Capitals,Kolkata Knight Riders,1254092,SS Iyer,33.33333333333333
97,Delhi Capitals,Kolkata Knight Riders,1254092,RR Pant,110.8108108108108
96,Delhi Capitals,Kolkata Knight Riders,1254092,R Ashwin,125.0
98,Delhi Capitals,Kolkata Knight Riders,1254092,S Dhawan,120.0
193,Kolkata Knight Riders,Delhi Capitals,1254092,Shubman Gill,90.9090909090909
188,Kolkata Knight Riders,Delhi Capitals,1254092,EJG Morgan,0.0
189,Kolkata Knight Riders,Delhi Capitals,1254092,KD Karthik,85.71428571428571
192,Kolkata Knight Riders,Delhi Capitals,1254092,SP Narine,210.0
191,Kolkata Knight Riders,Delhi Capitals,1254092,RA Tripathi,180.0
99,Delhi Capitals,Kolkata Knight Riders,1254092,SO Hetmyer,80.0
190,Kolkata Knight Riders,Delhi Capitals,1254092,N Rana,148.14814814814815
205,Kolkata Knight Riders,Mumbai Indians,1254096,EJG Morgan,87.5
306,Mumbai Indians,Kolkata Knight Riders,1254096,Adam Milne,100.0
307,Mumbai Indians,Kolkata Knight Riders,1254096,Ishan Kishan,115.38461538461536
308,Mumbai Indians,Kolkata Knight Riders,1254096,KA Pollard,160.0
309,Mumbai Indians,Kolkata Knight Riders,1254096,KH Pandya,133.33333333333331
312,Mumbai Indians,Kolkata Knight Riders,1254096,SA Yadav,60.0
206,Kolkata Knight Riders,Mumbai Indians,1254096,N Rana,250.0
208,Kolkata Knight Riders,Mumbai Indians,1254096,Shubman Gill,144.44444444444443
209,Kolkata Knight Riders,Mumbai Indians,1254096,Venkatesh Iyer,184.375
313,Mumbai Indians,Kolkata Knight Riders,1254096,SS Tiwary,250.0
310,Mumbai Indians,Kolkata Knight Riders,1254096,Q de Kock,135.71428571428572
207,Kolkata Knight Riders,Mumbai Indians,1254096,RA Tripathi,178.57142857142858
311,Mumbai Indians,Kolkata Knight Riders,1254096,RG Sharma,112.90322580645164
480,Rajasthan Royals,Delhi Capitals,1254097,DA Miller,70.0
487,Rajasthan Royals,Delhi Capitals,1254097,Yashasvi Jaiswal,125.0
144,Delhi Capitals,Rajasthan Royals,1254097,SS Iyer,140.625
485,Rajasthan Royals,Delhi Capitals,1254097,SV Samson,138.1818181818182
484,Rajasthan Royals,Delhi Capitals,1254097,R Tewatia,60.0
482,Rajasthan Royals,Delhi Capitals,1254097,MK Lomror,79.16666666666666
481,Rajasthan Royals,Delhi Capitals,1254097,Liam Livingstone,33.33333333333333
486,Rajasthan Royals,Delhi Capitals,1254097,Tabraiz Shamsi,50.0
138,Delhi Capitals,Rajasthan Royals,1254097,L Yadav,100.0
139,Delhi Capitals,Rajasthan Royals,1254097,PP Shaw,83.33333333333334
140,Delhi Capitals,Rajasthan Royals,1254097,R Ashwin,133.33333333333331
141,Delhi Capitals,Rajasthan Royals,1254097,RR Pant,100.0
142,Delhi Capitals,Rajasthan Royals,1254097,S Dhawan,100.0
143,Delhi Capitals,Rajasthan Royals,1254097,SO Hetmyer,170.58823529411765
137,Delhi Capitals,Rajasthan Royals,1254097,AR Patel,187.5
483,Rajasthan Royals,Delhi Capitals,1254097,R Parag,28.57142857142857
177,Kolkata Knight Riders,Chennai Super Kings,1254098,SP Narine,100.0
16,Chennai Super Kings,Kolkata Knight Riders,1254098,F du Plessis,146.66666666666666
17,Chennai Super Kings,Kolkata Knight Riders,1254098,MM Ali,113.79310344827589
19,Chennai Super Kings,Kolkata Knight Riders,1254098,RA Jadeja,275.0
20,Chennai Super Kings,Kolkata Knight Riders,1254098,SM Curran,100.0
178,Kolkata Knight Riders,Chennai Super Kings,1254098,Shubman Gill,180.0
22,Chennai Super Kings,Kolkata Knight Riders,1254098,Suresh Raina,171.42857142857142
179,Kolkata Knight Riders,Chennai Super Kings,1254098,Venkatesh Iyer,118.75
18,Chennai Super Kings,Kolkata Knight Riders,1254098,MS Dhoni,50.0
21,Chennai Super Kings,Kolkata Knight Riders,1254098,SN Thakur,150.0
176,Kolkata Knight Riders,Chennai Super Kings,1254098,RA Tripathi,139.3939393939394
13,Chennai Super Kings,Kolkata Knight Riders,1254098,AS Raut,142.85714285714286
14,Chennai Super Kings,Kolkata Knight Riders,1254098,AT Rayudu,110.0
15,Chennai Super Kings,Kolkata Knight Riders,1254098,DL Chahar,100.0
173,Kolkata Knight Riders,Chennai Super Kings,1254098,EJG Morgan,57.14285714285714
174,Kolkata Knight Riders,Chennai Super Kings,1254098,KD Karthik,245.45454545454547
175,Kolkata Knight Riders,Chennai Super Kings,1254098,N Rana,141.3793103448276
172,Kolkata Knight Riders,Chennai Super Kings,1254098,AD Russell,133.33333333333331
404,Punjab Kings,Mumbai Indians,1254099,DJ Hooda,111.53846153846156
407,Punjab Kings,Mumbai Indians,1254099,Mandeep Singh,114.28571428571428
403,Punjab Kings,Mumbai Indians,1254099,CH Gayle,25.0
326,Mumbai Indians,Punjab Kings,1254099,SS Tiwary,121.62162162162164
322,Mumbai Indians,Punjab Kings,1254099,KA Pollard,200.0
321,Mumbai Indians,Punjab Kings,1254099,HH Pandya,133.33333333333331
325,Mumbai Indians,Punjab Kings,1254099,SA Yadav,0.0
324,Mumbai Indians,Punjab Kings,1254099,RG Sharma,80.0
409,Punjab Kings,Mumbai Indians,1254099,Nathan Ellis,150.0
408,Punjab Kings,Mumbai Indians,1254099,N Pooran,66.66666666666666
402,Punjab Kings,Mumbai Indians,1254099,Aiden Markram,143.33333333333334
406,Punjab Kings,Mumbai Indians,1254099,KL Rahul,95.65217391304348
323,Mumbai Indians,Punjab Kings,1254099,Q de Kock,96.55172413793105
405,Punjab Kings,Mumbai Indians,1254099,H Brar,84.21052631578947
547,Rajasthan Royals,Sunrisers Hyderabad,1254100,R Tewatia,100.0
726,Sunrisers Hyderabad,Rajasthan Royals,1254100,Abhishek Sharma,141.1764705882353
727,Sunrisers Hyderabad,Rajasthan Royals,1254100,Jason Roy,166.66666666666669
728,Sunrisers Hyderabad,Rajasthan Royals,1254100,KS Williamson,125.5813953488372
729,Sunrisers Hyderabad,Rajasthan Royals,1254100,P Garg,0.0
730,Sunrisers Hyderabad,Rajasthan Royals,1254100,WP Saha,158.33333333333331
549,Rajasthan Royals,Sunrisers Hyderabad,1254100,Yashasvi Jaiswal,156.52173913043478
546,Rajasthan Royals,Sunrisers Hyderabad,1254100,R Parag,0.0
545,Rajasthan Royals,Sunrisers Hyderabad,1254100,MK Lomror,106.89655172413792
544,Rajasthan Royals,Sunrisers Hyderabad,1254100,Liam Livingstone,66.66666666666666
543,Rajasthan Royals,Sunrisers Hyderabad,1254100,Evin Lewis,150.0
548,Rajasthan Royals,Sunrisers Hyderabad,1254100,SV Samson,148.27586206896552
222,Kolkata Knight Riders,Punjab Kings,1254102,Shubman Gill,114.28571428571428
395,Punjab Kings,Kolkata Knight Riders,1254102,KL Rahul,123.21428571428572
218,Kolkata Knight Riders,Punjab Kings,1254102,KD Karthik,109.09090909090908
217,Kolkata Knight Riders,Punjab Kings,1254102,EJG Morgan,100.0
394,Punjab Kings,Kolkata Knight Riders,1254102,DJ Hooda,75.0
393,Punjab Kings,Kolkata Knight Riders,1254102,Aiden Markram,125.0
221,Kolkata Knight Riders,Punjab Kings,1254102,SP Narine,133.33333333333331
220,Kolkata Knight Riders,Punjab Kings,1254102,RA Tripathi,129.62962962962962
398,Punjab Kings,Kolkata Knight Riders,1254102,Shahrukh Khan,244.44444444444449
223,Kolkata Knight Riders,Punjab Kings,1254102,Tim Seifert,100.0
224,Kolkata Knight Riders,Punjab Kings,1254102,Venkatesh Iyer,138.77551020408163
219,Kolkata Knight Riders,Punjab Kings,1254102,N Rana,172.22222222222223
397,Punjab Kings,Kolkata Knight Riders,1254102,N Pooran,171.42857142857142
396,Punjab Kings,Kolkata Knight Riders,1254102,MA Agarwal,155.55555555555557
531,Rajasthan Royals,Royal Challengers Bangalore,1254103,K Tyagi,100.0
532,Rajasthan Royals,Royal Challengers Bangalore,1254103,Liam Livingstone,77.77777777777779
634,Royal Challengers Bangalore,Rajasthan Royals,1254103,V Kohli,125.0
633,Royal Challengers Bangalore,Rajasthan Royals,1254103,Srikar Bharat,125.71428571428572
631,Royal Challengers Bangalore,Rajasthan Royals,1254103,Devdutt Padikkal,147.36842105263156
630,Royal Challengers Bangalore,Rajasthan Royals,1254103,AB de Villiers,400.0
534,Rajasthan Royals,Royal Challengers Bangalore,1254103,R Parag,56.25
632,Royal Challengers Bangalore,Rajasthan Royals,1254103,GJ Maxwell,167.74193548387098
529,Rajasthan Royals,Royal Challengers Bangalore,1254103,Chetan Sakariya,100.0
535,Rajasthan Royals,Royal Challengers Bangalore,1254103,R Tewatia,66.66666666666666
533,Rajasthan Royals,Royal Challengers Bangalore,1254103,MK Lomror,80.0
530,Rajasthan Royals,Royal Challengers Bangalore,1254103,Evin Lewis,155.26315789473685
528,Rajasthan Royals,Royal Challengers Bangalore,1254103,CH Morris,136.36363636363637
536,Rajasthan Royals,Royal Challengers Bangalore,1254103,SV Samson,126.66666666666666
537,Rajasthan Royals,Royal Challengers Bangalore,1254103,Yashasvi Jaiswal,140.9090909090909
271,Mumbai Indians,Chennai Super Kings,1254104,Q de Kock,141.66666666666669
269,Mumbai Indians,Chennai Super Kings,1254104,KA Pollard,114.28571428571428
267,Mumbai Indians,Chennai Super Kings,1254104,Ishan Kishan,110.0
270,Mumbai Indians,Chennai Super Kings,1254104,KH Pandya,80.0
265,Mumbai Indians,Chennai Super Kings,1254104,A Singh,114.28571428571428
30,Chennai Super Kings,Mumbai Indians,1254104,AT Rayudu,33.33333333333333
29,Chennai Super Kings,Mumbai Indians,1254104,AS Raut,155.17241379310346
266,Mumbai Indians,Chennai Super Kings,1254104,Adam Milne,113.33333333333331
32,Chennai Super Kings,Mumbai Indians,1254104,F du Plessis,0.0
268,Mumbai Indians,Chennai Super Kings,1254104,JJ Bumrah,50.0
273,Mumbai Indians,Chennai Super Kings,1254104,SA Yadav,42.85714285714285
272,Mumbai Indians,Chennai Super Kings,1254104,RD Chahar,0.0
37,Chennai Super Kings,Mumbai Indians,1254104,Suresh Raina,66.66666666666666
36,Chennai Super Kings,Mumbai Indians,1254104,SN Thakur,100.0
35,Chennai Super Kings,Mumbai Indians,1254104,RA Jadeja,91.66666666666666
33,Chennai Super Kings,Mumbai Indians,1254104,MM Ali,0.0
31,Chennai Super Kings,Mumbai Indians,1254104,DJ Bravo,266.66666666666663
34,Chennai Super Kings,Mumbai Indians,1254104,MS Dhoni,60.0
274,Mumbai Indians,Chennai Super Kings,1254104,SS Tiwary,124.39024390243902
672,Sunrisers Hyderabad,Delhi Capitals,1254105,P Kumar,175.0
160,Delhi Capitals,Sunrisers Hyderabad,1254105,SS Iyer,116.66666666666669
668,Sunrisers Hyderabad,Delhi Capitals,1254105,JO Holder,122.22222222222224
669,Sunrisers Hyderabad,Delhi Capitals,1254105,KM Jadhav,37.5
670,Sunrisers Hyderabad,Delhi Capitals,1254105,KS Williamson,100.0
671,Sunrisers Hyderabad,Delhi Capitals,1254105,MK Pandey,106.25
673,Sunrisers Hyderabad,Delhi Capitals,1254105,Rashid Khan,127.77777777777776
674,Sunrisers Hyderabad,Delhi Capitals,1254105,Sandeep Sharma,100.0
159,Delhi Capitals,Sunrisers Hyderabad,1254105,S Dhawan,113.51351351351352
667,Sunrisers Hyderabad,Delhi Capitals,1254105,DA Warner,0.0
666,Sunrisers Hyderabad,Delhi Capitals,1254105,A Samad,133.33333333333331
158,Delhi Capitals,Sunrisers Hyderabad,1254105,RR Pant,176.19047619047618
157,Delhi Capitals,Sunrisers Hyderabad,1254105,PP Shaw,137.5
675,Sunrisers Hyderabad,Delhi Capitals,1254105,WP Saha,111.76470588235294
709,Sunrisers Hyderabad,Punjab Kings,1254107,JO Holder,165.51724137931035
450,Punjab Kings,Sunrisers Hyderabad,1254107,DJ Hooda,130.0
714,Sunrisers Hyderabad,Punjab Kings,1254107,Rashid Khan,75.0
713,Sunrisers Hyderabad,Punjab Kings,1254107,P Kumar,100.0
712,Sunrisers Hyderabad,Punjab Kings,1254107,MK Pandey,56.52173913043478
711,Sunrisers Hyderabad,Punjab Kings,1254107,KS Williamson,16.666666666666664
707,Sunrisers Hyderabad,Punjab Kings,1254107,A Samad,50.0
708,Sunrisers Hyderabad,Punjab Kings,1254107,DA Warner,66.66666666666666
448,Punjab Kings,Sunrisers Hyderabad,1254107,Aiden Markram,90.625
449,Punjab Kings,Sunrisers Hyderabad,1254107,CH Gayle,94.11764705882352
715,Sunrisers Hyderabad,Punjab Kings,1254107,WP Saha,94.73684210526316
454,Punjab Kings,Sunrisers Hyderabad,1254107,N Pooran,200.0
453,Punjab Kings,Sunrisers Hyderabad,1254107,MA Agarwal,83.33333333333334
452,Punjab Kings,Sunrisers Hyderabad,1254107,KL Rahul,100.0
451,Punjab Kings,Sunrisers Hyderabad,1254107,H Brar,105.26315789473684
455,Punjab Kings,Sunrisers Hyderabad,1254107,Nathan Ellis,108.33333333333331
710,Sunrisers Hyderabad,Punjab Kings,1254107,KM Jadhav,100.0
350,Mumbai Indians,Royal Challengers Bangalore,1254108,SA Yadav,100.0
349,Mumbai Indians,Royal Challengers Bangalore,1254108,RG Sharma,170.37037037037038
343,Mumbai Indians,Royal Challengers Bangalore,1254108,Ishan Kishan,75.0
607,Royal Challengers Bangalore,Mumbai Indians,1254108,S Ahmed,33.33333333333333
345,Mumbai Indians,Royal Challengers Bangalore,1254108,KA Pollard,70.0
348,Mumbai Indians,Royal Challengers Bangalore,1254108,RD Chahar,0.0
351,Mumbai Indians,Royal Challengers Bangalore,1254108,TA Boult,0.0
344,Mumbai Indians,Royal Challengers Bangalore,1254108,JJ Bumrah,83.33333333333334
347,Mumbai Indians,Royal Challengers Bangalore,1254108,Q de Kock,108.69565217391305
608,Royal Challengers Bangalore,Mumbai Indians,1254108,Srikar Bharat,136.0
341,Mumbai Indians,Royal Challengers Bangalore,1254108,Adam Milne,0.0
606,Royal Challengers Bangalore,Mumbai Indians,1254108,Kyle Jamieson,100.0
602,Royal Challengers Bangalore,Mumbai Indians,1254108,AB de Villiers,171.42857142857142
609,Royal Challengers Bangalore,Mumbai Indians,1254108,V Kohli,127.90697674418604
342,Mumbai Indians,Royal Challengers Bangalore,1254108,HH Pandya,57.14285714285714
603,Royal Challengers Bangalore,Mumbai Indians,1254108,Dan Christian,33.33333333333333
604,Royal Challengers Bangalore,Mumbai Indians,1254108,Devdutt Padikkal,0.0
605,Royal Challengers Bangalore,Mumbai Indians,1254108,GJ Maxwell,162.16216216216216
346,Mumbai Indians,Royal Challengers Bangalore,1254108,KH Pandya,54.54545454545454
686,Sunrisers Hyderabad,Kolkata Knight Riders,1254109,Jason Roy,91.66666666666666
691,Sunrisers Hyderabad,Kolkata Knight Riders,1254109,S Kaul,140.0
684,Sunrisers Hyderabad,Kolkata Knight Riders,1254109,Abhishek Sharma,60.0
689,Sunrisers Hyderabad,Kolkata Knight Riders,1254109,P Kumar,100.0
688,Sunrisers Hyderabad,Kolkata Knight Riders,1254109,P Garg,67.74193548387096
687,Sunrisers Hyderabad,Kolkata Knight Riders,1254109,KS Williamson,123.8095238095238
257,Kolkata Knight Riders,Sunrisers Hyderabad,1254109,Venkatesh Iyer,57.14285714285714
690,Sunrisers Hyderabad,Kolkata Knight Riders,1254109,Rashid Khan,133.33333333333331
253,Kolkata Knight Riders,Sunrisers Hyderabad,1254109,KD Karthik,150.0
692,Sunrisers Hyderabad,Kolkata Knight Riders,1254109,WP Saha,0.0
256,Kolkata Knight Riders,Sunrisers Hyderabad,1254109,Shubman Gill,111.76470588235294
255,Kolkata Knight Riders,Sunrisers Hyderabad,1254109,RA Tripathi,116.66666666666669
685,Sunrisers Hyderabad,Kolkata Knight Riders,1254109,JO Holder,44.44444444444444
683,Sunrisers Hyderabad,Kolkata Knight Riders,1254109,A Samad,138.88888888888889
254,Kolkata Knight Riders,Sunrisers Hyderabad,1254109,N Rana,81.81818181818183
252,Kolkata Knight Riders,Sunrisers Hyderabad,1254109,EJG Morgan,100.0
514,Rajasthan Royals,Punjab Kings,1254111,R Parag,80.0
511,Rajasthan Royals,Punjab Kings,1254111,K Tyagi,66.66666666666666
510,Rajasthan Royals,Punjab Kings,1254111,Evin Lewis,176.19047619047618
509,Rajasthan Royals,Punjab Kings,1254111,Chetan Sakariya,116.66666666666669
508,Rajasthan Royals,Punjab Kings,1254111,CH Morris,100.0
420,Punjab Kings,Rajasthan Royals,1254111,KL Rahul,148.57142857142858
421,Punjab Kings,Rajasthan Royals,1254111,MA Agarwal,167.4418604651163
422,Punjab Kings,Rajasthan Royals,1254111,N Pooran,145.45454545454547
512,Rajasthan Royals,Punjab Kings,1254111,Liam Livingstone,164.70588235294116
513,Rajasthan Royals,Punjab Kings,1254111,MK Lomror,244.44444444444449
418,Punjab Kings,Rajasthan Royals,1254111,DJ Hooda,0.0
515,Rajasthan Royals,Punjab Kings,1254111,R Tewatia,50.0
516,Rajasthan Royals,Punjab Kings,1254111,SV Samson,80.0
517,Rajasthan Royals,Punjab Kings,1254111,Yashasvi Jaiswal,141.66666666666669
419,Punjab Kings,Rajasthan Royals,1254111,F Allen,0.0
417,Punjab Kings,Rajasthan Royals,1254111,Aiden Markram,135.0
109,Delhi Capitals,Mumbai Indians,1254112,PP Shaw,85.71428571428571
290,Mumbai Indians,Delhi Capitals,1254112,KH Pandya,86.66666666666667
108,Delhi Capitals,Mumbai Indians,1254112,AR Patel,100.0
286,Mumbai Indians,Delhi Capitals,1254112,AS Yadav,275.0
288,Mumbai Indians,Delhi Capitals,1254112,JJ Bumrah,100.0
287,Mumbai Indians,Delhi Capitals,1254112,HH Pandya,100.0
111,Delhi Capitals,Mumbai Indians,1254112,RR Pant,122.72727272727272
289,Mumbai Indians,Delhi Capitals,1254112,KA Pollard,81.81818181818183
110,Delhi Capitals,Mumbai Indians,1254112,R Ashwin,95.23809523809524
292,Mumbai Indians,Delhi Capitals,1254112,Q de Kock,105.55555555555556
114,Delhi Capitals,Mumbai Indians,1254112,SPD Smith,112.5
294,Mumbai Indians,Delhi Capitals,1254112,SA Yadav,126.92307692307692
293,Mumbai Indians,Delhi Capitals,1254112,RG Sharma,80.0
295,Mumbai Indians,Delhi Capitals,1254112,SS Tiwary,84.21052631578947
291,Mumbai Indians,Delhi Capitals,1254112,NM Coulter-Nile,50.0
115,Delhi Capitals,Mumbai Indians,1254112,SS Iyer,105.71428571428572
112,Delhi Capitals,Mumbai Indians,1254112,S Dhawan,114.28571428571428
113,Delhi Capitals,Mumbai Indians,1254112,SO Hetmyer,187.5
565,Royal Challengers Bangalore,Chennai Super Kings,1254113,Tim David,33.33333333333333
71,Chennai Super Kings,Royal Challengers Bangalore,1254113,Suresh Raina,163.63636363636363
563,Royal Challengers Bangalore,Chennai Super Kings,1254113,GJ Maxwell,122.22222222222224
564,Royal Challengers Bangalore,Chennai Super Kings,1254113,HV Patel,60.0
567,Royal Challengers Bangalore,Chennai Super Kings,1254113,Wanindu Hasaranga de Silva,100.0
66,Chennai Super Kings,Royal Challengers Bangalore,1254113,AS Raut,150.0
67,Chennai Super Kings,Royal Challengers Bangalore,1254113,AT Rayudu,150.0
69,Chennai Super Kings,Royal Challengers Bangalore,1254113,MM Ali,126.3157894736842
68,Chennai Super Kings,Royal Challengers Bangalore,1254113,F du Plessis,123.07692307692308
561,Royal Challengers Bangalore,Chennai Super Kings,1254113,AB de Villiers,118.1818181818182
70,Chennai Super Kings,Royal Challengers Bangalore,1254113,MS Dhoni,122.22222222222224
566,Royal Challengers Bangalore,Chennai Super Kings,1254113,V Kohli,131.70731707317074
562,Royal Challengers Bangalore,Chennai Super Kings,1254113,Devdutt Padikkal,143.13725490196077
